127.0.0.1 - - [25/May/2022:09:09:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/May/2022:11:25:33 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [25/May/2022:11:30:29 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 6778
0:0:0:0:0:0:0:1 - - [25/May/2022:11:30:29 +0900] "GET /client/html/images/catty01.png HTTP/1.1" 200 9348
0:0:0:0:0:0:0:1 - - [25/May/2022:11:30:31 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=47&y=51 HTTP/1.1" 200 6778
0:0:0:0:0:0:0:1 - - [25/May/2022:11:30:34 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 200 6778
0:0:0:0:0:0:0:1 - - [25/May/2022:11:31:29 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 200 6860
0:0:0:0:0:0:0:1 - - [25/May/2022:11:32:30 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 200 6890
0:0:0:0:0:0:0:1 - - [25/May/2022:11:33:31 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [25/May/2022:11:34:01 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 200 6959
0:0:0:0:0:0:0:1 - - [25/May/2022:11:34:55 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:34:57 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:34:58 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:34:58 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:34:58 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:34:59 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:35:54 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 200 7028
0:0:0:0:0:0:0:1 - - [25/May/2022:11:35:54 +0900] "GET /client/html/images/bullet01.png HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [25/May/2022:11:36:25 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 200 7068
0:0:0:0:0:0:0:1 - - [25/May/2022:11:36:28 +0900] "GET /client/html/ex18_form.html?txt1=&rbGender=on&txtName=%ED%99%8D%EA%B8%B8%EB%8F%99&x=88&y=41 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:39:53 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [25/May/2022:11:41:07 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [25/May/2022:11:41:59 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [25/May/2022:11:42:33 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [25/May/2022:11:43:34 +0900] "GET /client/html/ex19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:43:38 +0900] "GET /client/html/ex19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:43:39 +0900] "GET /client/html/ex19.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [25/May/2022:11:43:39 +0900] "GET /client/html/ex19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:43:40 +0900] "GET /client/html/ex19.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2022:11:43:40 +0900] "GET /client/html/ex19.html HTTP/1.1" 304 -
